mse,rmse,mae,model
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
